gene_id	color
1552672_a_at	blue
1552673_at	brown
1552674_at	yellow
1552675_at	grey
1552676_at	turquoise
1552677_a_at	pink
1552678_a_at	brown
1552680_a_at	blue
1552682_a_at	blue
1552684_a_at	yellow
1552685_a_at	brown
1552686_at	turquoise
1552687_a_at	turquoise
1552689_at	red
1552690_a_at	green
1552691_at	blue
1552693_at	grey
1552694_at	brown
1552695_a_at	black
1552696_at	blue
1552698_at	turquoise
1552701_a_at	grey
1552703_s_at	blue
1552705_at	grey
1552708_a_at	grey
1552711_a_at	turquoise
1552712_a_at	grey
1552713_a_at	turquoise
1552714_at	green
1552715_a_at	turquoise
1552716_at	brown
1552717_s_at	green
1552718_at	grey
1552719_at	blue
1552721_a_at	grey
1552722_at	grey
1552724_at	turquoise
1552725_s_at	turquoise
1552726_at	blue
1552727_s_at	turquoise
1552729_at	black
1552730_at	turquoise
1552731_at	turquoise
1552732_at	grey
1552733_at	black
1552734_at	yellow
1552735_at	grey
1552736_a_at	turquoise
1552737_s_at	grey
1552738_a_at	yellow
1552739_s_at	blue
1552740_at	blue
1552742_at	blue
1552743_at	turquoise
1552745_at	grey
1552747_a_at	turquoise
1552749_a_at	turquoise
1552750_at	turquoise
1552751_a_at	turquoise
1552752_a_at	grey
1552754_a_at	brown
1552755_at	grey
1552757_s_at	turquoise
1552758_at	turquoise
1552760_at	turquoise
1552761_at	yellow
1552763_at	grey
1552765_x_at	brown
1552766_at	brown
1552767_a_at	brown
1552768_at	green
1552769_at	turquoise
1552770_s_at	red
1552771_a_at	turquoise
1552772_at	turquoise
1552773_at	grey
1552774_a_at	darkgreen
1552775_at	grey
1552777_a_at	turquoise
1552779_a_at	grey
1552782_at	grey
1552783_at	brown
1552785_at	blue
1552787_at	pink
1552788_a_at	grey
1552789_at	black
1552790_a_at	black
1552791_a_at	grey
1552792_at	yellow
1552793_at	turquoise
1552794_a_at	grey
1552796_a_at	turquoise
1552797_s_at	greenyellow
1552798_a_at	blue
1552799_at	turquoise
1552800_at	turquoise
1552801_at	turquoise
1552803_a_at	turquoise
1552804_a_at	black
1552806_a_at	blue
1552807_a_at	brown
1552808_at	grey
1552809_at	turquoise
1552811_at	turquoise
1552812_a_at	yellow
1552813_at	turquoise
1552814_a_at	turquoise
1552816_at	turquoise
1552818_a_at	turquoise
1552819_at	turquoise
1552822_at	salmon
1552825_at	grey
1552826_at	turquoise
1552827_s_at	yellow
1552828_at	turquoise
1552829_at	blue
1552830_at	turquoise
1552833_at	grey
1552834_at	darkgrey
1552835_at	grey
